Symbolic_Maths,Natural_Language
p → (q → (s → r)),if p then if q then if s then r
∀y (P(y) → S(y)),"for all y, if P(y) then S(y)"
∃y (Q(y) → R(y)),there exists y such that if Q(y) then R(y)
t ∧ A,t and A
A \ A = ∅,The difference of A and itself equals the empty set
vᵀAv,the quadratic form v transpose A v
𝒫(C) = {S | S ⊆ C},The power set of C is the set of all subsets of C
v3(B),the third eigenvector of matrix B
U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q),Intersection distributes over union: U ∩ (U ∪ Q) = (U ∩ U) ∪ (U ∩ Q)
f ⁻¹' B,The preimage of set B under function f
v1(B),the first eigenvector of matrix B
B · u,matrix B applied to vector u
P ⊇ W,Set P contains set W
∀x (P(x) → R(x)),"for all x, if P(x) then R(x)"
P ⊇ Q,Set P contains set Q
f : A → W,f maps A into W
Z ⊆ W ∧ Infinite Z → Infinite W,"If Z ⊆ W and Z is infinite, then W is infinite"
log(C),the matrix logarithm of C
(p ∧ r) → q,if both p and r then q
BᵀM,the transpose of B times M
B · v,matrix B applied to vector v
W ⊆ B ∧ B ⊆ Z → W ⊆ Z,"If W ⊆ B and B ⊆ Z, then W ⊆ Z"
¬(p ∧ r) ∨ ¬(q ∧ s),"not both p and r, or not both q and s"
"[w₁, w₂, w₃]","the vector with components w1, w2, and w3"
(p ∨ q) → r,if either p or q then r
A₃₃,the 3 by 3 matrix A
"∃y in the domain, P(y)",there exists y in the domain such that P(y)
B = QR,matrix B equals Q times R
p → (r ∧ q),if p then both r and q
w ∧ y,the wedge product of vectors w and y
(Xᶜ)ᶜ = X,Double complement of X is X
f(cv),f applied to c times v
t ∈ P ∩ Q ↔ (t ∈ P ∧ t ∈ Q),t is an element of the intersection of P and Q if and only if t is in both P and Q
∀y (R(y) ∧ S(y)),"for all y, both R(y) and S(y) are true"
∂A/∂t,the partial derivative of matrix A with respect to t
∃x in the real numbers (Positive(x) ∧ Even(x)),there exists x in the real numbers such that both Positive(x) and Even(x)
∃!z S(z),there exists a unique z such that S(z)
C ∩ Z,The intersection of C and Z
"∃ x ∈ R, Q x",There exists an element x in R such that property Q holds
q → r,q implies r
√C,the matrix square root of C
p → q,p implies q
ℂ²,the 2-dimensional complex coordinate space
v ⊥ x,vector v is orthogonal to vector x
p → (r ∨ q),if p then either r or q
"∃x (P(x) ∧ ∀y R(x, y))","there exists x such that P(x) and for all y, R(x, y)"
(∀x P(x)) ∨ (∀x Q(x)) → ∀x (P(x) ∨ Q(x)),"if fot all x P(x) ot fot all x Q(x), then fot all x, P(x) ot Q(x)"
V \ Z,The set difference V minus Z
∅ ⊆ S,The empty set is a subset of every set S
A → t,if A then t
αw,the scalar alpha times vector w
R ∩ T ⊆ R,The intersection of R and T is a subset of R
A · B,the product of matrices A and B
v̂,the unit vector v
ℝ⁴,the 4-dimensional real coordinate space
∀x (P(x) → S(x)),"for all x, if P(x) then S(x)"
p ∧ q,p is true and q is true
V ⊆ A,V is a subset of A
U ∩ (U ∪ Q) = U,Ubsorption law for intersection: U ∩ (U ∪ Q) = U
q → (p → (s → r)),if q then if p then if s then r
(s ∨ p) ∧ (q ∨ r),"either s or p, and either q or r"
"∀x ∃z Q(x, z)","for all x, there exists z such that Q(x, z) is true"
w · x,the dot product of vectors w and x
p ↔ A,p and A have the same truth value
(αC)⁻¹,the inverse of α times matrix C
r → (p ∨ q),if r then either p or q
A = P,matrix A equals matrix P
det(A + B),the determinant of the sum of matrices A and B
B*,the conjugate transpose of matrix B
M = [Mᵢⱼ],the matrix M with entries M i j
S ∪ P,The union of S and P
∀x in the integers Prime(x),"for all x in the integers, Prime(x)"
√M,the matrix square root of M
r ↔ s,r if and only if s
∃x (Q(x) ∧ R(x)),there exists x such that both Q(x) and R(x) are true
det(BP),the determinant of the product of matrices B and P
C = [Cᵢⱼ],the matrix C with entries C i j
Vᶜ,The complement of V
∀x (R(x) ∨ S(x)),"for all x, either R(x) or S(x) is true"
‖B‖_F,the Frobenius norm of matrix B
w ∈ V ∪ T ↔ (w ∈ V ∨ w ∈ T),w is an element of V union T if and only if w is an element of V or w is an element of T
p ∨ ¬p ↔ ⊤,p or not p is equivalent to true
comp_x(w),the component of w along x
Av = λv,the matrix A times vector v equals the scalar lambda times vector v
t ∉ Z,t is not a member of set Z
Finite W ∧ Finite Y → Finite (W ∪ Y),"If W is finite and Y is finite, then W ∪ Y is finite"
(B + C)⁻¹,the inverse of the sum of matrices B and C
"w = [w₁, w₂, w₃]","the vector w with components w1, w2, and w3"
M = LU,matrix M equals L times U
∀y (Q(y) ↔ S(y)),"for all y, Q(y) if and only if S(y)"
r ∧ s,both r and s
M is invertible,matrix M is invertible
s ↔ A,s is true if and only if A is true
∀x in the domain D (Prime(x) → Positive(x)),"for all x in the domain D, if Prime(x) then Positive(x)"
q ↔ t,q is true if and only if t is true
pinv(A),the pseudoinverse of matrix A
a ∈ V ∩ T ↔ (a ∈ V ∧ a ∈ T),a is an element of the intersection of V and T if and only if a is in both V and T
f ⁻¹' S,The preimage of set S under function f
Pᶜ,The complement of P
vᵀu,the transpose of v times u
Y ∪ (V ∩ B) = (Y ∪ V) ∩ (Y ∪ B),Union distributes over intersection: Y ∪ (V ∩ B) = (Y ∪ V) ∩ (Y ∪ B)
null(A),the null space of matrix A
W ⊆ Y,W is a subset of Y
p ↔ A,p is equivalent to A
Aᵀv,the transpose of matrix A times vector v
u ∧ x,the wedge product of vectors u and x
X ⊆ Y,X is a subset of Y
w ⋅ (x + b),the dot product of w with the sum of x and b
(kA)⁻¹,the inverse of k times matrix A
B is positive definite,matrix B is positive definite
s → (r → (q → p)),if s then if r then if q then p
S ⊆ V,Every element of S is an element of V
(M - μI)v = 0,matrix M minus μ times the identity matrix times vector v equals zero
"block diag(A₁, A₂, A₃)","the block diagonal matrix with blocks A1, A2, and A3"
z ∈ X ∪ P ↔ (z ∈ X ∨ z ∈ P),z is an element of X union P if and only if z is an element of X or z is an element of P
(A - μI)w = 0,matrix A minus μ times the identity matrix times vector w equals zero
v3(C),the third eigenvector of matrix C
B = M,matrix B equals matrix M
v - x,the difference of vectors v and x
Y ⊇ P,Set Y contains set P
"(u, x)",the inner product of u and x
"∀y ∃z P(y, z)","for all y, there exists z such that P(y, z) is true"
√A,the matrix square root of A
V ⊆ A ∧ A ⊆ V → V = A,"If V is a subset of A and A is a subset of V, then V equals A"
Q ∩ (Q ∪ B) = Q,Qbsorption law for intersection: Q ∩ (Q ∪ B) = Q
"∀z, P(z)","for all z, P(z)"
s ∈ T ∪ X ↔ (s ∈ T ∨ s ∈ X),s is an element of T union X if and only if s is an element of T or s is an element of X
u ⊥ x,vector u is orthogonal to vector x
BᵀMᵀ,the transpose of B times the transpose of M
c ∈ S ∩ C ↔ (c ∈ S ∧ c ∈ C),c is an element of the intersection of S and C if and only if c is in both S and C
R ⊆ T,Every element of R is an element of T
cond(A),the condition number of matrix A
r ↔ t,r and t have the same truth value
"∀ S, S ⊆ X → S ∈ 𝒫(X)",Every subset of X is an element of the power set of X
"∃x in D, R(x)",there exists x in D such that R(x)
"∃x ∀y Q(x, y)","there exists x such that for all y, Q(x, y) is true"
z ∈ C,The element z is an element of set C
pinv(B),the pseudoinverse of matrix B
kC,the scalar k times matrix C
AᵀCᵀ,the transpose of A times the transpose of C
w - x,the difference of vectors w and x
∃y in the domain Q(y),there exists y in the domain such that Q(y) is true
"∀y in D, Q(y)","for all y in D, Q(y)"
Z ∪ (U ∩ A) = (Z ∪ U) ∩ (Z ∪ A),Union distributes over intersection: Z ∪ (U ∩ A) = (Z ∪ U) ∩ (Z ∪ A)
∀z (P(z) ∨ R(z)),"for all z, either P(z) or R(z) is true"
f: V → ℝ,f is a linear functional from V to the reals
ℂⁿ,the n-dimensional complex coordinate space
vᵀx,the transpose of v times x
"∃a in the domain, P(a)",there exists a in the domain such that P(a)
Z ∪ (Z ∩ R) = Z,Absorption law for union: Z ∪ (Z ∩ R) = Z
(v - z) × b,the cross product of the difference of v and z with b
‖w‖₂,the Euclidean norm of vector w
(v + x) ⋅ b,the dot product of the sum of v and x with b
"∀ x ∈ P, P x","For all x in P, property P holds"
A ∨ ¬A,A or not A is a tautology
∀x in the real numbers Prime(x),"for all x in the real numbers, Prime(x)"
vᵢ,the i-th component of vector v
λₘᵢₙ(A),the smallest eigenvalue of A
p → q,if p then q
O,the zero matrix
f : V → W,f maps V into W
∃!x P(x),there exists one and only one x such that P(x)
∀y (Q(y) ∧ S(y)),"for all y, both Q(y) and S(y) are true"
det(C),the determinant of matrix C
∃!t S(t),there exists a unique t such that S(t)
¬C,the negation of C
"∀a in D, P(a)","for all a in D, P(a)"
p ∨ (q ∧ r) ↔ (p ∨ q) ∧ (p ∨ r),"p or both q and r is equivalent to both p or q, and p or r"
U⊥,the orthogonal complement of subspace U
q ∨ r,either q or r
n ∈ V \ U,n is an element of V but not in U
U ⊇ C,Set U contains set C
[w₁ w₂ w₃],"the row vector with components w1, w2, and w3"
X ∩ (X ∪ R) = X,Xbsorption law for intersection: X ∩ (X ∪ R) = X
(v + y) ⋅ b,the dot product of the sum of v and y with b
M is diagonal,matrix M is diagonal
Z ⊆ T,Every element of Z is an element of T
"(w₁, w₂, w₃)","the vector with components w1, w2, and w3"
∅ ∈ 𝒫(R),The empty set is an element of the power set of R
∀y in the domain P(y),"for all y in the domain, P(y) is true"
tr(B²),the trace of B squared
Bx = b,the linear system B times x equals b
∃z (P(z) → S(z)),there exists z such that if P(z) then S(z)
"Z = A ↔ ∀ x, x ∈ Z ↔ x ∈ A",Sets Z and A are equal if they have the same elements
"Z = T ↔ ∀ x, x ∈ Z ↔ x ∈ T",Sets Z and T are equal if they have the same elements
¬∃x P(x) ↔ ∀x ¬P(x),not there exists x P(x) is equivalent to for all x not P(x)
s ∈ X,The element s is an element of set X
∃y (P(y) → S(y)),there exists y such that if P(y) then S(y)
((P ∨ Q) ∧ ¬P) → Q,"if P or Q and not P, then Q"
null(f),the null space of linear transformation f
v ∈ Qᶜ ↔ v ∉ Q,v is an element of the complement of Q if and only if v is not in Q
B is upper triangular,matrix B is upper triangular
T ⊇ W,Set T contains set W
P ∪ (U ∩ Q) = (P ∪ U) ∩ (P ∪ Q),Union distributes over intersection: P ∪ (U ∩ Q) = (P ∪ U) ∩ (P ∪ Q)
"∀y, Q(y)","for all y, Q(y)"
n ∉ Z,n is not a member of set Z
w ∈ Yᶜ ↔ w ∉ Y,w is an element of the complement of Y if and only if w is not in Y
p ∧ q ↔ q ∧ p,p and q is equivalent to q and p
U × T,The Cartesian product of U and T
∀y (P(y) ∧ Q(y)),"for all y, both P(y) and Q(y) are true"
P × P,The Cartesian product of P and P
n ∉ R,n is not a member of set R
u ∈ Y ∪ U ↔ (u ∈ Y ∨ u ∈ U),u is an element of Y union U if and only if u is an element of Y or u is an element of U
comp_u(v),the component of v along u
v ∈ C ∪ Z ↔ (v ∈ C ∨ v ∈ Z),v is an element of C union Z if and only if v is an element of C or v is an element of Z
∀x (P(x) → Q(x)),"for all x, if P(x) then Q(x)"
s ∉ T,s is not a member of set T
B - M,the difference of matrices B and M
C · x,matrix C applied to vector x
P ∩ (P ∪ T) = P,Pbsorption law for intersection: P ∩ (P ∪ T) = P
"∀z ∀a R(z, a)","for all z and for all a, R(z, a) is true"
S + V,the sum of subspaces S and V
Finite R ∧ Finite T → Finite (R ∪ T),"If R is finite and T is finite, then R ∪ T is finite"
q → (r ∨ p),if q then either r or p
Cw,matrix C times vector w
∃!z R(z),there exists a unique z such that R(z) is true
Yᶜ,The complement of Y
q ↔ s,q is true if and only if s is true
(A ∪ C)ᶜ = Aᶜ ∩ Cᶜ,The complement of the union of A and C equals the intersection of their complements
Aᵀᵀ,the transpose of the transpose of matrix A
T ∩ U,The intersection of T and U
"A × Q = {(a, b) | a ∈ A ∧ b ∈ Q}","The Cartesian product A × Q is the set of all ordered pairs (a, b) where a ∈ A and b ∈ Q"
∃x in the integers Prime(x),there exists x in the integers such that Prime(x)
det(B - λI),the characteristic polynomial of matrix B
s → t,s entails t
f '' S,The image of set S under function f
ABᵀ,matrix A times the transpose of B
A ⊆ B → 𝒫(A) ⊆ 𝒫(B),If A is a subset of B then the power set of A is a subset of the power set of B
v × w,the cross product of vectors v and w
u × y,the cross product of vectors u and y
"∀x (F(x) → ∃y G(x, y))","for all x, if F(x) then there exists y such that G(x, y)"
R ⊆ T ∧ Infinite R → Infinite T,"If R ⊆ T and R is infinite, then T is infinite"
v ⋅ y,the dot product of vectors v and y
(A + M)⁻¹,the inverse of the sum of matrices A and M
[Q]ᵢⱼ,the i j entry of matrix Q
"y = [y₁, y₂]",the vector y with components y1 and y2
cv,the scalar c times vector v
X ⊆ univ,Every set X is a subset of the universal set
∃x in D R(x),there is some x in D for which R of x holds
k ∉ W,k is not a member of set W
‖B‖∞,the infinity norm of matrix B
"∀x Loves(x, x)","for all x, Loves(x, x) holds"
(q ↔ p) ∧ (s ↔ r),"q if and only if p, and s if and only if r"
log(A),the matrix logarithm of A
(P → Q) → ((Q → r) → (P → r)),if P imPlies Q then if Q imPlies r then P imPlies r
P ∪ (P ∩ T) = P,Pbsorption law for union: P ∪ (P ∩ T) = P
∅ ∈ 𝒫(W),The empty set is an element of the power set of W
Q ⊆ V ∧ Infinite Q → Infinite V,"If Q ⊆ V and Q is infinite, then V is infinite"
q ∧ t,q and t
A ∪ (A ∩ Y) = A,Absorption law for union: A ∪ (A ∩ Y) = A
∀x in the integers (Prime(x) → Positive(x)),"for all x in the integers, if Prime(x) then Positive(x)"
B ≈ M,matrix B is approximately equal to matrix M
S \ Q,The set difference S minus Q
r → t,r entails t
x ∉ Q,x is not a member of set Q
A ≈ P,matrix A is approximately equal to matrix P
Cv,matrix C times vector v
∀a Q(a),"for every a, Q of a holds"
"[z₁, z₂, z₃]","the vector with components z1, z2, and z3"
"∃z ∃a P(z, a)","there exist z and a such that P(z, a) is true"
w ∈ U,The element w is an element of set U
"T × U = {(a, b) | a ∈ T ∧ b ∈ U}","The Cartesian product T × U is the set of all ordered pairs (a, b) where a ∈ T and b ∈ U"
P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P),Intersection distributes over union: P ∩ (B ∪ P) = (P ∩ B) ∪ (P ∩ P)
c ∈ R,The element c is an element of set R
m ∈ V \ P,m is an element of V but not in P
(C + M)⁻¹,the inverse of the sum of matrices C and M
V ∩ (U ∪ C) = (V ∩ U) ∪ (V ∩ C),Intersection distributes over union: V ∩ (U ∪ C) = (V ∩ U) ∪ (V ∩ C)
V ∪ Z,The union of V and Z
∀y (S(y) → y = a),"for all y, if S(y) then y equals a"
"∀x ∀y (R(x, y) → R(y, x))","for all x and y, if R(x, y) then R(y, x)"
∀x in the natural numbers Odd(x),"for all x in the natural numbers, Odd(x)"
∀y Q(y),"for every y, Q of y holds"
m ∈ Q ∩ X ↔ (m ∈ Q ∧ m ∈ X),m is an element of the intersection of Q and X if and only if m is in both Q and X
∃x in set S (Odd(x) ∧ Prime(x)),there exists x in set S such that both Odd(x) and Prime(x)
A · w,matrix A applied to vector w
u ∈ ℝ³,vector u is in 3-dimensional real space
-u,the negative of vector u
p → (q ∧ r) ↔ (p → q) ∧ (p → r),"if p then both q and r is equivalent to if p then q, and if p then r"
s ∈ X \ P,s is an element of X but not in P
L(v + w),L applied to the sum of v and w
(q ∨ r),q or r
(p ∧ t),p and t
t ∈ Aᶜ ↔ t ∉ A,t is an element of the complement of A if and only if t is not in A
u ∈ V \ T,u is an element of V but not in T
U ∪ (S ∩ V) = (U ∪ S) ∩ (U ∪ V),Union distributes over intersection: U ∪ (S ∩ V) = (U ∪ S) ∩ (U ∪ V)
v ∧ u,the wedge product of vectors v and u
tr(cA),the trace of c times matrix A
y ∈ U ∪ S ↔ (y ∈ U ∨ y ∈ S),y is an element of U union S if and only if y is an element of U or y is an element of S
s ∨ t,s or t
A*,the conjugate transpose of matrix A
R ∩ C,The intersection of R and C
col(A),the column space of matrix A
v ∈ R ∪ Y ↔ (v ∈ R ∨ v ∈ Y),v is an element of R union Y if and only if v is an element of R or v is an element of Y
(p ∧ q) ∨ r,"either both p and q, or r"
"Y × Y = {(a, b) | a ∈ Y ∧ b ∈ Y}","The Cartesian product Y × Y is the set of all ordered pairs (a, b) where a ∈ Y and b ∈ Y"
W ⊇ B,Set W contains set B
"∀x, Q(x)","for all x, Q(x)"
∃x (P(x) ∨ R(x)),there exists x such that either P(x) or R(x) is true
∃a in the domain Q(a),there is some a in the domain for which Q of a holds
∃y (R(y) ∧ S(y)),there exists y such that both R(y) and S(y) are true
B \ V,The set difference B minus V
λₘₐₓ(A),the largest eigenvalue of A
∀y (Q(y) ∧ R(y)),"for all y, both Q(y) and R(y) are true"
"∀x T(x, x)","for all x, T(x, x) holds"
"∃x ∃a P(x, a)","there exist x and a such that P(x, a) is true"
B = UΣVᵀ,matrix B equals U times Sigma times V transpose
"∀ x ∈ V, P x → Q x","For every element x in V, if P(x) then Q(x)"
(q ∨ s) ∧ (p ∨ r),"either q or s, and either p or r"
|Q|,the determinant of matrix Q
r ↔ s,r and s have the same truth value
"∃ x ∈ T, Q x",There exists an element x in T such that property Q holds
U ⊆ T ∧ T ⊆ S → U ⊆ S,"If U ⊆ T and T ⊆ S, then U ⊆ S"
tr(A),the trace of matrix A
Bv = λv,matrix B times vector v equals λ times vector v
(p ∨ q) ∨ r ↔ p ∨ (q ∨ r),p or q or r is associative
"∃z, P(z)",there exists z such that P(z)
"∀z ∃a R(z, a)","for all z, there exists a such that R(z, a) is true"
(∀x P(x)) ∨ (∀x Q(x)) → ∀x (P(x) ∨ Q(x)),"if foC all x P(x) oC foC all x Q(x), then foC all x, P(x) oC Q(x)"
r ↔ s,r is true if and only if s is true
y ∈ X ∩ V ↔ (y ∈ X ∧ y ∈ V),y is an element of the intersection of X and V if and only if y is in both X and V
(w + y) ⋅ b,the dot product of the sum of w and y with b
n ∈ V,The element n is an element of set V
Bw,matrix B times vector w
∃y (R(y) → S(y)),there exists y such that if R(y) then S(y)
‖u‖ + ‖x‖,the sum of the norms of u and x
A = C,matrix A equals matrix C
(Y ∪ Q)ᶜ = Yᶜ ∩ Qᶜ,The complement of the union of Y and Q equals the intersection of their complements
"⟨v, w⟩",the inner product of v and w
‖v‖₂,the Euclidean norm of vector v
det(cC),the determinant of c times matrix C
A ∩ S,The intersection of A and S
a ∉ C,a is not a member of set C
Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S),Union distributes over intersection: Z ∪ (B ∩ S) = (Z ∪ B) ∩ (Z ∪ S)
∀z (Q(z) ∧ S(z)),"for all z, both Q(z) and S(z) are true"
A is lower triangular,matrix A is lower triangular
comp_u(w),the component of w along u
"A × V = {(a, b) | a ∈ A ∧ b ∈ V}","The Cartesian product A × V is the set of all ordered pairs (a, b) where a ∈ A and b ∈ V"
M⁻¹,the inverse of matrix M
∅ ⊆ R,The empty set is a subset of every set R
(q ↔ s) ∧ (p ↔ r),"q if and only if s, and p if and only if r"
Pₘₙ,the m by n matrix P
v ∈ W,The element v is an element of set W
(q ∨ r) ∧ (p ∨ s),"either q or r, and either p or s"
T ∩ S,The intersection of T and S
T × P,The Cartesian product of T and P
∀a in the domain Q(a),"for all a in the domain, Q(a) is true"
‖A‖,the norm of matrix A
"⟨v, u⟩",the inner product of vectors v and u
(s ↔ p) ∧ (r ↔ q),"s if and only if p, and r if and only if q"
ker(f),the kernel of linear transformation f
det(M²),the determinant of M squared
Q ∈ ℝᵐˣⁿ,matrix Q is an m by n real matrix
B ≈ C,matrix B is approximately equal to matrix C
‖v‖ + ‖y‖,the sum of the norms of v and y
q ∨ t,q or t
q ∨ A,q or A
∃x in the natural numbers (Prime(x) ∧ Positive(x)),there exists x in the natural numbers such that both Prime(x) and Positive(x)
y ∈ R ∩ Y ↔ (y ∈ R ∧ y ∈ Y),y is an element of the intersection of R and Y if and only if y is in both R and Y
C ⊇ T,Set C contains set T
((r → s) ∧ r) → s,"if r imrlies s and r, then s"
Z ∪ A,The union of Z and A
∃y (P(y) ∧ S(y)),there exists y such that both P(y) and S(y) are true
r → s,if r is true then s is true
∅ ⊆ B,The empty set is a subset of every set B
V ∩ P,The intersection of V and P
(r ∨ p) → q,if either r or p then q
B \ R,The set difference B minus R
q ∧ ¬q,q and not q is a contradiction
u ∈ X \ V,u is an element of X but not in V
(p ↔ s) ∧ (r ↔ q),"p if and only if s, and r if and only if q"
|z|,the magnitude of vector z
Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q),Intersection distributes over union: Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q)
U ⊕ V = W,the direct sum of U and V equals W
‖w - u‖,the distance between vectors w and u
"∀ S ⊆ B, Finite S","For all subsets S of B, S is finite"
V \ S,The set difference V minus S
z ∈ Bᶜ ↔ z ∉ B,z is an element of the complement of B if and only if z is not in B
Q ⊆ X ∧ X ⊆ Q → Q = X,"If Q is a subset of X and X is a subset of Q, then Q equals X"
(u - x) × b,the cross product of the difference of u and x with b
∃y in D Q(y),there is some y in D for which Q of y holds
det(A²),the determinant of A squared
(W ∪ B)ᶜ = Wᶜ ∩ Bᶜ,The complement of the union of W and B equals the intersection of their complements
n ∈ R ∪ A ↔ (n ∈ R ∨ n ∈ A),n is an element of R union A if and only if n is an element of R or n is an element of A
Av = λv,the eigenvalue equation A times v equals lambda times v
∀z (P(z) ∧ R(z)),"for all z, both P(z) and R(z) are true"
∃x in the integers Even(x),there exists x in the integers such that Even(x)
s → q,if s then q
‖w‖∞,the infinity norm of vector w
y ∈ T,The element y is an element of set T
v ∥ w,vector v is parallel to vector w
v × y,the cross product of vectors v and y
z ∈ W ∩ V ↔ (z ∈ W ∧ z ∈ V),z is an element of the intersection of W and V if and only if z is in both W and V
v + u + a,"the sum of vectors v, u, and a"
S ∪ R,The union of S and R
det(B),the determinant of matrix B
∃x in the real numbers (Odd(x) ∧ Prime(x)),there exists x in the real numbers such that both Odd(x) and Prime(x)
det(C - λI),the characteristic polynomial of matrix C
(r ∨ q) ∧ (s ∨ p),"either r or q, and either s or p"
comp_x(u),the component of u along x
q → (r → (p → s)),if q then if r then if p then s
v + y + a,"the sum of vectors v, y, and a"
vᵀ,the transpose of vector v
T ∩ (T ∪ R) = T,Absorption law for intersection: T ∩ (T ∪ R) = T
∃!t Q(t),there exists a unique t such that Q(t)
(v + z) ⋅ b,the dot product of the sum of v and z with b
k ∈ S,The element k is an element of set S
∃x (P(x) ∧ Q) ↔ Q ∧ ∃x P(x),theCe exists x such that P(x) and Q is eBuivalent to Q and theCe exists x P(x)
‖x‖₂,the Euclidean norm of vector x
P ∈ ℝ³ˣ³,matrix P is a 3 by 3 real matrix
|BM|,the determinant of the product of matrices B and M
"⟨u, y⟩",the inner product of vectors u and y
"∃z ∃a Q(z, a)","there exist z and a such that Q(z, a) is true"
∃x in the domain D Positive(x),there exists x in the domain D such that Positive(x)
B = P,matrix B equals matrix P
AP,the product of matrices A and P
C ⊆ B → Bᶜ ⊆ Cᶜ,"If C ⊆ B, then Bᶜ ⊆ Cᶜ"
p ∨ A,either p or A
Q = [Qᵢⱼ],the matrix Q with entries Q i j
q ↔ s,q if and only if s
σ2(C),the second singular value of matrix C
"{v₁, v₂, v₃} is linearly independent","the vectors {v₁, v₂, v₃} are linearly independent"
x ∈ ℝ³,vector x is in 3-dimensional real space
BᵀP,the transpose of B times P
W ∩ T,The intersection of W and T
p_C(λ) = 0,the characteristic equation of matrix C
"∀x in the domain, P(x)","for all x in the domain, P(x)"
(w + z) ⋅ b,the dot product of the sum of w and z with b
"∃x ∀y R(x, y)","there exists x such that for all y, R(x, y) is true"
"∀y ∀a R(y, a)","for all y and for all a, R(y, a) is true"
p ∧ (r ∨ q),p and either r or q
P ⊆ S,Set P is a subset of set S
|C|,the determinant of matrix C
w + u,the sum of vectors w and u
∃y in D Q(y),there exists y in D such that Q(y) is true
"{u₁, u₂, ..., uₙ} is linearly dependent","the vectors {u₁, u₂, ..., uₙ} are linearly dependent"
q → t,if q then t
(r ∨ q) → p,if either r or q then p
tr(αM),the trace of α times matrix M
U ∩ P,The intersection of U and P
"∃a in D, P(a)",there exists a in D such that P(a)
∅ ∈ 𝒫(B),The empty set is an element of the power set of B
"∀z in D, P(z)","for all z in D, P(z)"
wᵀAw,the quadratic form w transpose A w
s ∧ A,s is true and A is true
v · w,the dot product of vectors v and w
a ∈ Wᶜ ↔ a ∉ W,a is an element of the complement of W if and only if a is not in W
u ⋅ (x + b),the dot product of u with the sum of x and b
∅ ⊆ A,The empty set is a subset of every set A
tr(αC),the trace of α times matrix C
‖C‖₁,the 1-norm of matrix C
(p ∧ r) ∨ q,"either both p and r, or q"
p ∨ t,p is true or t is true
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
v1(A),the first eigenvector of matrix A
A \ B = A ∩ Bᶜ,Set difference equals intersection with complement
B = PDP⁻¹,matrix B equals P times D times P inverse
((p ∨ q) ∧ ¬p) → q,"if p or q and not p, then q"
∃z (Q(z) ∧ R(z)),there exists z such that both Q(z) and R(z) are true
v · ê,the component of v in direction ê
∀y (P(y) ∨ R(y)),"for all y, either P(y) or R(y) is true"
trace(B),the trace of matrix B
P ⊇ R,Set P contains set R
Av = x,the linear system A times v equals x
Bv,matrix B times vector v
uᵀx,the transpose of u times x
(r → q) ∧ (r ∧ ¬q),"if r then q, and r and not q, is a contradiction"
p → (r → (q → s)),if p then if r then if q then s
(A ∪ Q)ᶜ = Aᶜ ∩ Qᶜ,The complement of the union of A and Q equals the intersection of their complements
Au = x,the linear system A times u equals x
P₃₃,the 3 by 3 matrix P
∅ ⊆ Z,The empty set is a subset of every set Z
proj_x(v),the projection of v onto x
tr(kM),the trace of k times matrix M
"∀ S, S ⊆ P → S ∈ 𝒫(P)",Every subset of P is an element of the power set of P
(BC)ᵀ,the transpose of the product of matrices B and C
W ∪ U,The union of W and U
Q × W,The Cartesian product of Q and W
‖w‖ + ‖x‖,the sum of the norms of w and x
SVD(A),the singular value decomposition of matrix A
¬∃x Q(x) ↔ ∀x ¬Q(x),not there exists x Q(x) is equivalent to for all x not Q(x)
v3(A),the third eigenvector of matrix A
v ∉ T,v is not a member of set T
∃!x P(x),there is exactly one x for which P of x holds
c ∉ W,c is not a member of set W
U ⊆ T,Every element of U is an element of T
((p → q) ∧ ¬q) → ¬p,"if p implies q and not q, then not p"
∃x in the integers (Positive(x) ∧ Even(x)),there exists x in the integers such that both Positive(x) and Even(x)
(Wᶜ)ᶜ = W,Double complement of W is W
(Z ∩ X)ᶜ = Zᶜ ∪ Xᶜ,The complement of the intersection of Z and X equals the union of their complements
V ⊕ V⊥ = ℝⁿ,V direct sum with its orthogonal complement equals n-dimensional real space
y ∈ Z ∩ Q ↔ (y ∈ Z ∧ y ∈ Q),y is an element of the intersection of Z and Q if and only if y is in both Z and Q
q → s,if q is true then s is true
Q ⊆ C ∧ C ⊆ Q → Q = C,"If Q is a subset of C and C is a subset of Q, then Q equals C"
s → (p → (r → q)),if s then if p then if r then q
σ1(A),the first singular value of matrix A
∃x in D R(x),there exists x in D such that R(x) is true
(B - μI)w = 0,matrix B minus μ times the identity matrix times vector w equals zero
"∀z in the domain, Q(z)","for all z in the domain, Q(z)"
∃!y Q(y),there is exactly one y for which Q of y holds
nullity(A),the nullity of matrix A
∀y in D Q(y),"for every y in D, Q of y holds"
z ∈ V ∩ U ↔ (z ∈ V ∧ z ∈ U),z is an element of the intersection of V and U if and only if z is in both V and U
w × u,the cross product of vectors w and u
∀y in D P(y),"for all y in D, P(y) is true"
∀y (R(y) → y = a),"for all y, if R(y) then y equals a"
w ⋅ u,the dot product of vectors w and u
"∀y ∀a Q(y, a)","for all y and for all a, Q(y, a) is true"
