Symbolic_Maths,Natural_Language
(B - μI)w = 0,matrix B minus μ times the identity matrix times vector w equals zero
B ≈ M,matrix B is approximately equal to matrix M
AᵀMᵀ,the transpose of A times the transpose of M
∃z (P(z) ∧ S(z)),there exists z such that both P(z) and S(z) are true
tr(B),the trace of matrix B
∇²f(x) ≻ 0,the Hessian of f at x is positive definite
∀x in the domain D (Even(x) → Odd(x)),"for all x in the domain D, if Even(x) then Odd(x)"
"(x₁, x₂, x₃)","the vector with components x1, x2, and x3"
s ↔ A,s if and only if A
∀y (Q(y) ∧ R(y)),"for all y, both Q(y) and R(y) are true"
t ∧ A,both t and A
"∃x ∃y Q(x, y)","there exist x and y such that Q(x, y) is true"
"{u₁, u₂, ..., uₙ} is linearly dependent","the vectors {u₁, u₂, ..., uₙ} are linearly dependent"
∀x (P(x) → S(x)),"for all x, if P(x) then S(x)"
(r ∨ q) ∧ (p ∨ s),"either r or q, and either p or s"
∀z in D Q(z),"for every z in D, Q of z holds"
∀a in the domain Q(a),"for all a in the domain, Q(a) is true"
t → A,t entails A
∀x (P(x) ∨ Q(y)),"for all x, either P(x) or Q(y)"
B · P,the product of matrices B and P
"∀x ∀z Q(x, z)","for all x and for all z, Q(x, z) is true"
C is positive definite,matrix C is positive definite
p ↔ t,p if and only if t
(C - μI)v = 0,matrix C minus μ times the identity matrix times vector v equals zero
BCᵀ,matrix B times the transpose of C
∀z (S(z) → z = a),"for all z, if S(z) then z equals a"
proj_u(v),the projection of v onto u
∀x in set S (Even(x) → Odd(x)),"for all x in set S, if Even(x) then Odd(x)"
v + u,the sum of vectors v and u
|w|,the magnitude of vector w
∀y (Q(y) → y = a),"for all y, if Q(y) then y equals a"
q ∧ r,q and r
"[v₁, v₂, v₃]","the vector with components v1, v2, and v3"
t ↔ A,t and A have the same truth value
Pₘₙ,the m by n matrix P
(u - x) × b,the cross product of the difference of u and x with b
‖u + x‖²,the squared norm of the sum of u and x
(q ↔ s) ∧ (r ↔ p),"q if and only if s, and r if and only if p"
Bᵀᵀ,the transpose of the transpose of matrix B
det(C - λI),the characteristic polynomial of matrix C
Aᵀ,the transpose of matrix A
Qᵀᵀ,the transpose of the transpose of matrix Q
B is invertible,matrix B is invertible
∃x R(x),there exists x such that R(x) is true
Bᵀ,the transpose of matrix B
"∀z in D, P(z)","for all z in D, P(z)"
∃x in the integers (Odd(x) ∧ Prime(x)),there exists x in the integers such that both Odd(x) and Prime(x)
∀x in the natural numbers Even(x),"for all x in the natural numbers, Even(x)"
chol(C),the Cholesky decomposition of matrix C
|BC|,the determinant of the product of matrices B and C
P = [Pᵢⱼ],the matrix P with entries P i j
(p ∧ s),p and s
r ∨ A,r is true or A is true
"⟨w, x⟩",the inner product of vectors w and x
A · M,the product of matrices A and M
(q ∨ s),q or s
v ⋅ (z + b),the dot product of v with the sum of z and b
∃x (P(x) ∨ R(x)),there exists x such that either P(x) or R(x) is true
r → A,r implies A
(A ∧ B) → A,if A and B then A
Aw,matrix A times vector w
AC,the product of matrices A and C
v + u + a,"the sum of vectors v, u, and a"
∃x in the integers Positive(x),there exists x in the integers such that Positive(x)
Aᵀw,the transpose of matrix A times vector w
v ∥ x,vector v is parallel to vector x
r → t,if r then t
C = LLᵀ,matrix C equals L times L transpose
vᵀCv,the quadratic form v transpose C v
∀x in D P(x),"for all x in D, P(x) is true"
∃x (P(x) ∧ Q(x)) → (∃x P(x)) ∧ (∃x Q(x)),"if there exists x such that P(x) and Q(x), then there exists x P(x) and there exists x Q(x)"
∃!x S(x),there is exactly one x for which S of x holds
q → r,q implies r
(∀x P(x)) ∨ (∀x Q(x)) → ∀x (P(x) ∨ Q(x)),"if fot all x P(x) ot fot all x Q(x), then fot all x, P(x) ot Q(x)"
"∀a in D, Q(a)","for all a in D, Q(a)"
"(v, x)",the inner product of v and x
"∀z ∃a Q(z, a)","for all z, there exists a such that Q(z, a) is true"
∀x in the domain D Even(x),"for all x in the domain D, Even(x)"
(w - u) × b,the cross product of the difference of w and u with b
∃x (P(x) ∧ Q) ↔ Q ∧ ∃x P(x),thete exists x such that P(x) and Q is esuivalent to Q and thete exists x P(x)
¬s,not s
(w - u) × a,the cross product of the difference of w and u with a
‖v‖ + ‖z‖,the sum of the norms of v and z
M³,matrix M cubed
q ↔ r,q is true if and only if r is true
∀x in the real numbers Even(x),"for all x in the real numbers, Even(x)"
A · C,the product of matrices A and C
"∀y ∀z Q(y, z)","for all y and for all z, Q(y, z) is true"
∃!y R(y),there exists a unique y such that R(y)
W⊥,the orthogonal complement of subspace W
p ∧ s,p is true and s is true
∃x in the natural numbers Prime(x),there exists x in the natural numbers such that Prime(x)
∃z (P(z) ∨ R(z)),there exists z such that either P(z) or R(z) is true
w · ê,the component of w in direction ê
∃x in the integers (Even(x) ∧ Odd(x)),there exists x in the integers such that both Even(x) and Odd(x)
‖B‖₁,the 1-norm of matrix B
wᵀAw,the quadratic form w transpose A w
‖v‖₂,the Euclidean norm of vector v
λ2(A),the second eigenvalue of matrix A
r ∧ (q ∨ p),r and either q or p
"∀x in the domain, P(x)","for all x in the domain, P(x)"
SVD(C),the singular value decomposition of matrix C
(B → q) ∧ (B ∧ ¬q),"if B then q, and B and not q, is a contradiction"
|AB|,the determinant of the product of matrices A and B
AᵀB,the transpose of A times B
t → p,t implies p
det A,the determinant of matrix A
w · u,the dot product of vectors w and u
∀t (R(t) → t = a),"for all t, if R(t) then t equals a"
r ∧ s,r and s
det(A + C),the determinant of the sum of matrices A and C
"∃x ∀y ∃z S(x, y, z)","there exists x such that for all y, there exists z such that S(x, y, z)"
vᵢ,the i-th component of vector v
‖v‖,the norm of vector v
A = QΛQᵀ,matrix A equals Q times Lambda times Q transpose
Av = x,the linear system A times v equals x
det C,the determinant of matrix C
det(M),the determinant of matrix M
¬(p ∧ q ∧ r) ↔ (¬p ∨ ¬q ∨ ¬r),"not all of p, q, and r is equivalent to not p, or not q, or not r"
im(f),the image of linear transformation f
(q → q) ∧ (q ∧ ¬q),"if q then q, and q and not q, is a contradiction"
s ↔ t,s if and only if t
∃!y S(y),there exists one and only one y such that S(y)
w - y,the difference of vectors w and y
¬r,the negation of r
∀x (Q(x) ∨ S(x)),"for all x, either Q(x) or S(x) is true"
∃x (R(x) ∨ S(x)),there exists x such that either R(x) or S(x) is true
∃x in the natural numbers (Odd(x) ∧ Prime(x)),there exists x in the natural numbers such that both Odd(x) and Prime(x)
∃y (P(y) ∨ S(y)),there exists y such that either P(y) or S(y) is true
s ∧ A,both s and A
∀z Q(z),"for every z, Q of z holds"
‖M‖_F,the Frobenius norm of matrix M
tr(kA),the trace of k times matrix A
det(B²),the determinant of B squared
(s ↔ p) ∧ (q ↔ r),"s if and only if p, and q if and only if r"
W ⊆ ℝⁿ,W is a subspace of n-dimensional real space
p ∨ A,p is true or A is true
(p ∨ q) ∨ r ↔ p ∨ (q ∨ r),p or q or r is associative
∃a in D Q(a),there is some a in D for which Q of a holds
p ∨ ¬p,p or not p is a tautology
∃x (P(x) → Q(x)),there exists x such that if P(x) then Q(x)
"∀x ∃y ∀z F(x, y, z)","for all x, there exists y such that for all z, F(x, y, z)"
q → t,if q then t
q ∨ A,either q or A
"∃x ∃a R(x, a)","there exist x and a such that R(x, a) is true"
Av = λv,matrix A times vector v equals λ times vector v
"⟨v, w⟩",the inner product of v and w
∃!z S(z),there exists a unique z such that S(z)
(Pᵀ)ᵢⱼ,the i j entry of the transpose of matrix P
u · y,the dot product of vectors u and y
‖w + x‖²,the squared norm of the sum of w and x
∀z in the domain Q(z),"for every z in the domain, Q of z holds"
"∃x, P(x)",there exists x such that P(x)
s ↔ t,s and t have the same truth value
det(αB),the determinant of α times matrix B
w × x,the cross product of vectors w and x
p ∧ A,p and A
(s ∨ r) ∧ (q ∨ p),"either s or r, and either q or p"
tr(A + M),the trace of the sum of matrices A and M
uᵀx,the transpose of u times x
[M]ᵢⱼ,the i j entry of matrix M
r → (q ∧ p),if r then both q and p
(p ∧ r) → (q ∨ s),if both p and r then either q or s
(Aᵀ)ᵢⱼ,the i j entry of the transpose of matrix A
v2(B),the second eigenvector of matrix B
M is orthogonal,matrix M is orthogonal
"(y₁, y₂, y₃)","the vector with components y1, y2, and y3"
r ↔ t,r is equivalent to t
A₃₃,the 3 by 3 matrix A
nullity(M),the nullity of matrix M
(B + M)⁻¹,the inverse of the sum of matrices B and M
λ1(C),the first eigenvalue of matrix C
Jf(x),the Jacobian of f at x
"∀x, P(x)","for all x, P(x)"
(v - z) × a,the cross product of the difference of v and z with a
C ∈ ℝ³ˣ³,matrix C is a 3 by 3 real matrix
p → q,p entails q
v - w,the difference of vectors v and w
U + V,the sum of subspaces U and V
(s ∨ q) ∧ (r ∨ p),"either s or q, and either r or p"
[C]ᵢⱼ,the i j entry of matrix C
(Bᵀ)ᵢⱼ,the i j entry of the transpose of matrix B
"∀x ∀y S(x, y)","for all x and y, S(x, y) holds"
"∀x ∀y R(x, y)","for all x and for all y, R(x, y) is true"
ℝ²,the 2-dimensional real coordinate space
‖u‖₁,the L1 norm of vector u
(v + u) ⋅ b,the dot product of the sum of v and u with b
r ∨ (p ∧ q),r or both p and q
U ⊆ ℝⁿ,U is a subspace of n-dimensional real space
e₁,the first standard basis vector
¬(q ∨ ¬q),not q or not q is a contradiction
"⟨f, v⟩",the dual pairing of f and v
∃!z Q(z),there is exactly one z for which Q of z holds
∀x in the natural numbers Prime(x),"for all x in the natural numbers, Prime(x)"
∃x (Q(x) → R(x)),there exists x such that if Q(x) then R(x)
(q ↔ p) ∧ (s ↔ r),"q if and only if p, and s if and only if r"
"∀x Loves(x, x)","for all x, Loves(x, x) holds"
‖x‖₂,the Euclidean norm of vector x
Aᵀx,the transpose of matrix A times vector x
∀a in the domain Q(a),"for every a in the domain, Q of a holds"
w + y + a,"the sum of vectors w, y, and a"
p ∧ q ↔ q ∧ p,p and q is equivalent to q and p
∀x (Q(x) ∧ R(x)),"for all x, both Q(x) and R(x) are true"
p ↔ r,p is equivalent to r
B⁺,the Moore-Penrose pseudoinverse of matrix B
(s ↔ q) ∧ (r ↔ p),"s if and only if q, and r if and only if p"
V ⊕ V⊥ = ℝⁿ,V direct sum with its orthogonal complement equals n-dimensional real space
rank(A),the rank of matrix A
q ∧ s,q is true and s is true
p → A,if p then A
s ∨ A,s is true or A is true
(p → q) → ((q → r) → (p → r)),if p implies q then if q implies r then p implies r
∀x in the natural numbers Positive(x),"for all x in the natural numbers, Positive(x)"
∃a in the domain P(a),there is some a in the domain for which P of a holds
"∀x ∃y P(x, y)","for all x, there exists y such that P(x, y) is true"
(t ∧ s) → t ↔ t → (s → t),if t and s then t is esuivalent to if t then if s then t
V ∩ V,the intersection of subspaces V and V
(B - μI)u = 0,matrix B minus μ times the identity matrix times vector u equals zero
v + y + a,"the sum of vectors v, y, and a"
vᵀx,the transpose of v times x
Mᵀᵀ,the transpose of the transpose of matrix M
det(M - μI) = 0,the determinant of matrix M minus μ times the identity equals zero
(r ∧ q) → (s ∨ p),if both r and q then either s or p
κ(A),the condition number of matrix A
(r ∧ q) ∨ p,"either both r and q, or p"
p → (q ∨ r) ↔ (p → q) ∨ (p → r),"if p then q or r is equivalent to if p then q, or if p then r"
p → q,if p is true then q is true
w ⊥ x,vector w is orthogonal to vector x
‖A‖₂ = σₘₐₓ(A),the 2-norm of A equals the largest singular value of A
det(cA),the determinant of c times matrix A
det P,the determinant of matrix P
e₂,the second standard basis vector
∀y (P(y) ∧ Q(y)),"for all y, both P(y) and Q(y) are true"
∃a P(a),there exists a such that P(a) is true
tr(cB),the trace of c times matrix B
∀y (Q(y) → R(y)),"for all y, if Q(y) then R(y)"
¬(p ∧ q) ∨ ¬(r ∧ s),"not both p and q, or not both r and s"
"∀x ∀z P(x, z)","for all x and for all z, P(x, z) is true"
u ∧ y,the wedge product of vectors u and y
(v - u) × b,the cross product of the difference of v and u with b
‖C‖₂,the 2-norm of matrix C
∃x in the domain R(x),there is some x in the domain for which R of x holds
det(C²),the determinant of C squared
|Q|,the determinant of matrix Q
∂B/∂t,the partial derivative of matrix B with respect to t
L(u),the linear operator L applied to vector u
¬r,not r
v - x,the difference of vectors v and x
comp_u(v),the component of v along u
q ∧ t,both q and t
w · x,the dot product of vectors w and x
det M,the determinant of matrix M
p ∧ (q ∨ r) ↔ (p ∧ q) ∨ (p ∧ r),"p and either q or r is equivalent to either p and q, or p and r"
p ∨ r,either p or r
(v - u) × a,the cross product of the difference of v and u with a
p ∨ r,p or r
q ∧ (p ∨ r),q and either p or r
∃x in the real numbers (Even(x) ∧ Odd(x)),there exists x in the real numbers such that both Even(x) and Odd(x)
det(B + M),the determinant of the sum of matrices B and M
q → (r ∨ p),if q then either r or p
∃y (P(y) ∧ S(y)),there exists y such that both P(y) and S(y) are true
r ∨ (q ∧ p),r or both q and p
p → r,p implies r
(cC)⁻¹,the inverse of c times matrix C
"(w₁, w₂, w₃)","the vector with components w1, w2, and w3"
∀z (Q(z) ∧ R(z)),"for all z, both Q(z) and R(z) are true"
∃x in the natural numbers (Positive(x) ∧ Even(x)),there exists x in the natural numbers such that both Positive(x) and Even(x)
‖v + w‖²,the squared norm of the sum of v and w
Q ∈ ℝⁿˣⁿ,matrix Q is an n by n real matrix
∃!x P(x),there exists a unique x such that P(x)
r ∨ t,either r or t
‖v + z‖²,the squared norm of the sum of v and z
"∃x ∀z Q(x, z)","there exists x such that for all z, Q(x, z) is true"
v ⋅ y,the dot product of vectors v and y
∃!y P(y),there exists a unique y such that P(y) is true
range(T),the range of linear transformation T
v · x,the dot product of vectors v and x
B = UΣVᵀ,matrix B equals U times Sigma times V transpose
coordinate transformation,a coordinate transformation
(v - x) × a,the cross product of the difference of v and x with a
|y|,the magnitude of vector y
q → (r → (s → p)),if q then if r then if s then p
"∃x ∀z R(x, z)","there exists x such that for all z, R(x, z) is true"
det(AC),the determinant of the product of matrices A and C
(Qᵀ)ᵢⱼ,the i j entry of the transpose of matrix Q
APᵀ,matrix A times the transpose of P
∀z (P(z) ∧ R(z)),"for all z, both P(z) and R(z) are true"
∃y P(y),there exists y such that P(y) is true
"∀x ∃y ∀z S(x, y, z)","for all x, there exists y such that for all z, S(x, y, z)"
p ∨ s,p is true or s is true
"∀x ∀y (R(x, y) → R(y, x))","for all x and y, if R(x, y) then R(y, x)"
(r ∧ q) → p,if both r and q then p
"(u, x)",the inner product of u and x
log(A),the matrix logarithm of A
(p ∧ A),p and A
"∀z ∃a P(z, a)","for all z, there exists a such that P(z, a) is true"
∃!z S(z),there exists one and only one z such that S(z)
(BM)ᵀ,the transpose of the product of matrices B and M
Bu = μu,matrix B times vector u equals μ times vector u
∃y in D P(y),there is some y in D for which P of y holds
∃x in the domain D (Odd(x) ∧ Prime(x)),there exists x in the domain D such that both Odd(x) and Prime(x)
"⟨v, x⟩",the inner product of vectors v and x
v ∥ u,vector v is parallel to vector u
r → A,r entails A
¬(p → q) ↔ p ∧ ¬q,not if p then q is equivalent to p and not q
p ∨ q,p is true or q is true
∃a in D P(a),there is some a in D for which P of a holds
ku,the scalar k times vector u
∀x (P(x) → Q(x)) ∧ ∀x P(x) → ∀x Q(x),"if for all x P(x) implies Q(x) and for all x P(x), then for all x Q(x)"
C⁺,the Moore-Penrose pseudoinverse of matrix C
B = [Bᵢⱼ],the matrix B with entries B i j
"∃x ∀y R(x, y)","there exists x such that for all y, R(x, y) is true"
((A → B) ∧ A) → B,"if A imAlies B and A, then B"
dim(W),the dimension of subspace W
u · ê,the component of u in direction ê
(r → s) ↔ (¬s → ¬r),if r then s is esuivalent to if not s then not r
∀z in D Q(z),"for all z in D, Q(z) is true"
‖u‖ + ‖x‖,the sum of the norms of u and x
(B - λI)w = 0,matrix B minus λ times the identity matrix times vector w equals zero
t → A,if t is true then A is true
p ∧ r,p is true and r is true
dim(S),the dimension of subspace S
Bv = w,the linear system B times v equals w
T(v),the linear transformation T applied to vector v
p → q ↔ ¬p ∨ q,if p then q is equivalent to not p or q
s → r,s implies r
null(L),the null space of linear transformation L
¬(p ∧ q) ∨ ¬(s ∧ r),"not both p and q, or not both s and r"
∃!x R(x),there is exactly one x for which R of x holds
Bv = λv,the eigenvalue equation B times v equals lambda times v
(q ∨ r) → p,if either q or r then p
(q ∧ r) → (s ∨ p),if both q and r then either s or p
∃!x Q(x),there is exactly one x for which Q of x holds
q ↔ r,q and r have the same truth value
∀x in the real numbers Odd(x),"for all x in the real numbers, Odd(x)"
kv,the scalar k times vector v
s → (p → (r → q)),if s then if p then if r then q
∀y (P(y) ∨ S(y)),"for all y, either P(y) or S(y) is true"
∀z (Q(z) → S(z)),"for all z, if Q(z) then S(z)"
p_B(λ),the characteristic polynomial of matrix B
¬(p ∨ ¬p),not p or not p is a contradiction
(p ∧ q) → r ↔ p → (q → r),if p and q then r is equivalent to if p then if q then r
det(M - λI) = 0,the determinant of matrix M minus λ times the identity equals zero
q ↔ t,q is true if and only if t is true
¬s,the negation of s
r ∧ (p ∨ q),r and either p or q
(p ∧ q) → (r ∨ s),if both p and q then either r or s
(q ∨ s) ∧ (r ∨ p),"either q or s, and either r or p"
"∀z ∀a Q(z, a)","for all z and for all a, Q(z, a) is true"
∀y (Q(y) ↔ S(y)),"for all y, Q(y) if and only if S(y)"
v = [v₁; v₂; v₃],"the column vector v with components v1, v2, and v3"
v × u,the cross product of vectors v and u
p_B(λ) = 0,the characteristic equation of matrix B
r → (s → (p → q)),if r then if s then if p then q
(w - z) × a,the cross product of the difference of w and z with a
0ₘₙ,the m by n zero matrix
M = QR,matrix M equals Q times R
(αA)⁻¹,the inverse of α times matrix A
(s ↔ r) ∧ (q ↔ p),"s if and only if r, and q if and only if p"
q → A,if q then A
Bw = u,the linear system B times w equals u
[x₁ x₂ x₃],"the row vector with components x1, x2, and x3"
∃!y Q(y),there is exactly one y for which Q of y holds
∀x in the integers (Prime(x) → Positive(x)),"for all x in the integers, if Prime(x) then Positive(x)"
u ⋅ x,the dot product of vectors u and x
"∀x T(x, x)","for all x, T(x, x) holds"
(r ∨ p) → q,if either r or p then q
∀x Q(x),"for every x, Q of x holds"
det(B - μI) = 0,the determinant of matrix B minus μ times the identity equals zero
"∃x ∃y T(x, y)","there exist x and y such that T(x, y) holds"
comp_x(u),the component of u along x
"∀x (F(x) → ∃y G(x, y))","for all x, if F(x) then there exists y such that G(x, y)"
(Cᵀ)ᵢⱼ,the i j entry of the transpose of matrix C
(p ∧ q) → (s ∨ r),if both p and q then either s or r
"d(v, x)",the distance between vectors v and x
nullity(L),the nullity of linear transformation L
∀x in D Q(x),"for all x in D, Q(x) is true"
∀y (P(y) ↔ R(y)),"for all y, P(y) if and only if R(y)"
∃!t S(t),there exists a unique t such that S(t)
A = [Aᵢⱼ],the matrix A with entries A i j
ker(A),the kernel of matrix A
∃x in set S (Even(x) ∧ Odd(x)),there exists x in set S such that both Even(x) and Odd(x)
u = [u₁; u₂; u₃],"the column vector u with components u1, u2, and u3"
w ⋅ (y + b),the dot product of w with the sum of y and b
u ⊥ x,vector u is orthogonal to vector x
(A ∧ B) → C ↔ A → (B → C),if A and B then C is eBuivalent to if A then if B then C
(∀x P(x)) → Q(y),"if for all x P(x), then Q(y)"
(v - x) × b,the cross product of the difference of v and x with b
r ∧ A,r is true and A is true
q → A,q entails A
v ⊥ w,vector v is orthogonal to vector w
∃a in the domain P(a),there exists a in the domain such that P(a) is true
(v - w) × b,the cross product of the difference of v and w with b
ℂ²,the 2-dimensional complex coordinate space
det B,the determinant of matrix B
s ↔ A,s and A have the same truth value
Cu = λu,matrix C times vector u equals λ times vector u
tr(αA),the trace of α times matrix A
‖w‖∞,the infinity norm of vector w
‖A‖₁,the 1-norm of matrix A
u - y,the difference of vectors u and y
q ∧ A,both q and A
M⁻²,the inverse of M squared
t ↔ A,t if and only if A
[Q]ᵢⱼ,the i j entry of matrix Q
dim(V),the dimension of subspace V
∀y (R(y) ↔ S(y)),"for all y, R(y) if and only if S(y)"
(r ↔ q) ∧ (p ↔ s),"r if and only if q, and p if and only if s"
(BC)ᵀ,the transpose of the product of matrices B and C
|M|,the determinant of matrix M
∃x in the domain D (Even(x) ∧ Odd(x)),there exists x in the domain D such that both Even(x) and Odd(x)
rank(M),the rank of matrix M
trace(M),the trace of matrix M
BᵀM,the transpose of B times M
∀z in the domain Q(z),"for all z in the domain, Q(z) is true"
V ⊆ ℝⁿ,V is a subspace of n-dimensional real space
(αM)ᵀ,the transpose of α times matrix M
p ∧ (q ∨ r),p and either q or r
∃!x S(x),there exists one and only one x such that S(x)
tr(αM),the trace of α times matrix M
C · v,matrix C applied to vector v
‖C‖_F,the Frobenius norm of matrix C
"∃z ∃a Q(z, a)","there exist z and a such that Q(z, a) is true"
(q ∨ s) ∧ (p ∨ r),"either q or s, and either p or r"
∃a Q(a),there exists a such that Q(a) is true
A ∈ ℝⁿˣⁿ,matrix A is an n by n real matrix
r ∨ t,r or t
∃!y R(y),there is exactly one y for which R of y holds
q → t,q implies t
v ⋅ (w + a),the dot product of v with the sum of w and a
‖C‖₁,the 1-norm of matrix C
"∃y ∃a P(y, a)","there exist y and a such that P(y, a) is true"
s ↔ A,s is equivalent to A
(w + z) ⋅ b,the dot product of the sum of w and z with b
"∃a in D, Q(a)",there exists a in D such that Q(a)
tr(B²),the trace of B squared
s ∨ t,s or t
¬(p ∧ r) ∨ ¬(s ∧ q),"not both p and r, or not both s and q"
(r ∨ q) ∧ (s ∨ p),"either r or q, and either s or p"
∃x (P(x) ∧ Q) ↔ Q ∧ ∃x P(x),theCe exists x such that P(x) and Q is eBuivalent to Q and theCe exists x P(x)
q → (r → (p → s)),if q then if r then if p then s
BᵀPᵀ,the transpose of B times the transpose of P
λₘᵢₙ(B),the smallest eigenvalue of B
p ∨ ⊥ ↔ p,p or false is equivalent to p
exp(M),the matrix exponential of M
"∃x in D, P(x)",there exists x in D such that P(x)
∃!y R(y),there exists a unique y such that R(y) is true
∃y P(y),there is some y for which P of y holds
p ∨ ¬p ↔ ⊤,p or not p is equivalent to true
Cv = μv,matrix C times vector v equals μ times vector v
BMᵀ,matrix B times the transpose of M
∀z P(z),"for every z, P of z holds"
s ↔ A,s is true if and only if A is true
∃x P(x),there is some x for which P of x holds
p ∧ r,p and r
w ⋅ (z + b),the dot product of w with the sum of z and b
"∃y, Q(y)",there exists y such that Q(y)
S ⊕ V,the direct sum of subspaces S and V
comp_x(v),the component of v along x
s ↔ t,s is true if and only if t is true
v2(A),the second eigenvector of matrix A
"span{u₁, u₂, ..., uₙ}","the span of vectors {u₁, u₂, ..., uₙ}"
p ↔ A,p and A have the same truth value
(B + C)⁻¹,the inverse of the sum of matrices B and C
(A → B) ↔ (¬B → ¬A),if A then B is eBuivalent to if not B then not A
∀x in the integers Prime(x),"for all x in the integers, Prime(x)"
∃x (f(x) = c),there exists x such that f(x) equals c
B = LLᵀ,matrix B equals L times L transpose
tr(B + M),the trace of the sum of matrices B and M
AᵀBᵀ,the transpose of A times the transpose of B
"y = [y₁, y₂, y₃]","the vector y with components y1, y2, and y3"
(w + z) ⋅ a,the dot product of the sum of w and z with a
r ∨ t,r is true or t is true
u ⋅ y,the dot product of vectors u and y
‖y‖ₚ,the p-norm of vector y
¬(t ∧ s ∧ t) ↔ (¬t ∨ ¬s ∨ ¬t),"not all of t, s, and t is esuivalent to not t, ot not s, ot not t"
∀y (P(y) → S(y)),"for all y, if P(y) then S(y)"
(A - μI)w = 0,matrix A minus μ times the identity matrix times vector w equals zero
"∀x in D, Q(x)","for all x in D, Q(x)"
C*,the conjugate transpose of matrix C
(w - z) × b,the cross product of the difference of w and z with b
det(cM),the determinant of c times matrix M
q → s,q entails s
A → r,A implies r
"∀x ∃z Q(x, z)","for all x, there exists z such that Q(x, z) is true"
(v - w) × a,the cross product of the difference of v and w with a
∂C/∂t,the partial derivative of matrix C with respect to t
"∀x (P(x) → ∃y Q(x, y))","for all x, if P(x) then there exists y such that Q(x, y)"
p → (r ∨ q),if p then either r or q
λ3(A),the third eigenvalue of matrix A
det(kB),the determinant of k times matrix B
Pᵢⱼ,the entry in row i and column j of matrix P
σ₁(A) ≥ σ₂(A) ≥ ... ≥ σᵣ(A),the singular values of A in descending order
A ⪯ 0,matrix A is negative semidefinite
∀z (R(z) → z = a),"for all z, if R(z) then z equals a"
det(cC),the determinant of c times matrix C
det(A - λI) = 0,the determinant of matrix A minus λ times the identity equals zero
∀a in D P(a),"for every a in D, P of a holds"
s → t,s implies t
[v]_B,the coordinate vector of v with respect to basis B
q ∨ r,either q or r
p → (r ∧ q),if p then both r and q
[v₁ v₂ v₃],"the row vector with components v1, v2, and v3"
Bw,matrix B times vector w
tr(A + C),the trace of the sum of matrices A and C
e^C,the matrix exponential of C
A + P,the sum of matrices A and P
"∀x ∀y ∀z ((Loves(x, y) ∧ Loves(y, z)) → Loves(x, z))","for all x, y, and z, if Loves(x, y) and Loves(y, z) then Loves(x, z)"
(v + u) ⋅ a,the dot product of the sum of v and u with a
(q ∧ s),q and s
s → (q → (p → r)),if s then if q then if p then r
"∀x (S(x) → ∃y T(x, y))","for all x, if S(x) then there exists y such that T(x, y)"
"span(v₁, v₂, ..., vₖ)","the span of vectors v1, v2, through vk"
(p ∧ q) → p,if p and q then p
v ⋅ (z + a),the dot product of v with the sum of z and a
∀x in set S (Prime(x) → Positive(x)),"for all x in set S, if Prime(x) then Positive(x)"
∀x in the integers Odd(x),"for all x in the integers, Odd(x)"
Bw = λw,the eigenvalue equation B times w equals lambda times w
"∀a in D, P(a)","for all a in D, P(a)"
‖B‖∞,the infinity norm of matrix B
"span(u₁, u₂, ..., uₖ)","the span of vectors u1, u2, through uk"
p ↔ s,p and s have the same truth value
tr(B) = Σλᵢ,the trace of B equals the sum of its eigenvalues
[A]ᵢⱼ,the i j entry of matrix A
s → t,if s is true then t is true
p → s,p implies s
Ax = b,the linear system A times x equals b
p → (s → (r → q)),if p then if s then if r then q
orthogonal basis,an orthogonal basis
∀y (R(y) → y = a),"for all y, if R(y) then y equals a"
C - M,the difference of matrices C and M
∀a P(a),"for all a, P(a) is true"
‖v‖ + ‖u‖,the sum of the norms of v and u
(cM)⁻¹,the inverse of c times matrix M
C⁻¹,the inverse of matrix C
Df(x),the derivative of f at x
(AB)ᵀ,the transpose of the product of matrices A and B
w ⋅ (x + b),the dot product of w with the sum of x and b
Q⁻¹,the inverse of matrix Q
"∀x ∀a R(x, a)","for all x and for all a, R(x, a) is true"
M is lower triangular,matrix M is lower triangular
r ∧ t,r and t
"∃a, Q(a)",there exists a such that Q(a)
B · w,matrix B applied to vector w
p → q,if p then q
√M,the matrix square root of M
[u₁ u₂ u₃],"the row vector with components u1, u2, and u3"
wᵀBw,the quadratic form w transpose B w
(r ∨ s) ∧ (p ∨ q),"either r or s, and either p or q"
det(AB),the determinant of the product of matrices A and B
∃x in the real numbers Even(x),there exists x in the real numbers such that Even(x)
"d(w, x)",the distance between vectors w and x
Au = μu,matrix A times vector u equals μ times vector u
r ↔ A,r and A have the same truth value
∀y (Q(y) ∨ S(y)),"for all y, either Q(y) or S(y) is true"
A - P,the difference of matrices A and P
det(A - μI) = 0,the determinant of matrix A minus μ times the identity equals zero
∀x (R(x) → S(x)),"for all x, if R(x) then S(x)"
‖u‖∞,the infinity norm of vector u
"y = [y₁, y₂, ..., yₙ]","the vector y with components y1, y2, through yn"
î,the unit vector in the x direction
‖M‖,the norm of matrix M
"∃z, Q(z)",there exists z such that Q(z)
∃y (R(y) → S(y)),there exists y such that if R(y) then S(y)
"z = [z₁, z₂, ..., zₙ]","the vector z with components z1, z2, through zn"
C is lower triangular,matrix C is lower triangular
A is singular,matrix A is singular
Iₙ,the n by n identity matrix
q ↔ A,q is true if and only if A is true
Au,matrix A times vector u
